,disc_year,disc_facility,count
241,1992,Arecibo Observatory,6
352,1994,Arecibo Observatory,2
280,1995,Haute-Provence Observatory,5
242,1996,Multiple Observatories,6
71,1996,Lick Observatory,35
288,1997,Fred Lawrence Whipple Observatory,4
156,1998,Lick Observatory,13
203,1998,Multiple Observatories,9
130,1998,W. M. Keck Observatory,17
57,1999,W. M. Keck Observatory,41
104,1999,La Silla Observatory,24
324,1999,Fred Lawrence Whipple Observatory,3
167,1999,Multiple Observatories,12
115,2000,W. M. Keck Observatory,22
66,2000,Multiple Observatories,38
166,2000,Anglo-Australian Telescope,12
265,2000,La Silla Observatory,5
177,2001,Multiple Observatories,11
141,2001,Anglo-Australian Telescope,16
197,2001,La Silla Observatory,9
122,2001,W. M. Keck Observatory,19
323,2001,Lick Observatory,3
144,2002,Multiple Observatories,15
102,2002,Lick Observatory,25
52,2002,W. M. Keck Observatory,49
91,2002,Anglo-Australian Telescope,28
162,2002,La Silla Observatory,13
178,2002,OGLE,10
321,2002,Haute-Provence Observatory,4
188,2003,Multiple Observatories,10
61,2003,La Silla Observatory,41
389,2003,Hubble Space Telescope,1
348,2003,Okayama Astrophysical Observatory,3
270,2003,Anglo-Australian Telescope,5
93,2003,Haute-Provence Observatory,27
60,2004,OGLE,41
189,2004,La Silla Observatory,10
75,2004,McDonald Observatory,32
295,2004,Paranal Observatory,4
46,2004,W. M. Keck Observatory,56
152,2004,Anglo-Australian Telescope,14
376,2004,Subaru Telescope,2
154,2004,TrES,14
420,2005,Anglo-Australian Telescope,1
254,2005,Lick Observatory,6
76,2005,Haute-Provence Observatory,32
171,2005,Subaru Telescope,12
72,2005,La Silla Observatory,34
43,2005,W. M. Keck Observatory,59
256,2005,Multiple Observatories,6
386,2005,Thueringer Landessternwarte Tautenburg,2
443,2005,Paranal Observatory,1
236,2005,OGLE,7
74,2006,TrES,33
82,2006,W. M. Keck Observatory,31
199,2006,La Silla Observatory,9
414,2006,Spitzer Space Telescope,1
137,2006,HATNet,16
331,2006,Hubble Space Telescope,3
328,2006,Gemini Observatory,3
312,2006,Multiple Observatories,4
319,2006,Okayama Astrophysical Observatory,4
313,2006,Lick Observatory,4
314,2006,Kitt Peak National Observatory,4
384,2006,Palomar Observatory,2
380,2006,Thueringer Landessternwarte Tautenburg,2
148,2006,Anglo-Australian Telescope,14
146,2006,XO,15
326,2006,OGLE,3
243,2007,OGLE,6
42,2007,SuperWASP,60
38,2007,HATNet,64
194,2007,Multiple Observatories,9
244,2007,Okayama Astrophysical Observatory,6
239,2007,McDonald Observatory,6
73,2007,W. M. Keck Observatory,33
182,2007,Haute-Provence Observatory,10
181,2007,Subaru Telescope,10
85,2007,XO,30
80,2007,TrES,31
90,2007,La Silla Observatory,28
347,2007,Xinglong Station,3
110,2007,Lick Observatory,23
421,2007,Paranal Observatory,1
87,2008,CoRoT,28
77,2008,W. M. Keck Observatory,32
164,2008,Las Campanas Observatory,13
170,2008,Gemini Observatory,12
41,2008,HATNet,60
65,2008,La Silla Observatory,38
221,2008,OGLE,8
445,2008,Teide Observatory,1
163,2008,Okayama Astrophysical Observatory,13
192,2008,Paranal Observatory,9
174,2008,XO,11
240,2008,Anglo-Australian Telescope,6
33,2008,SuperWASP,77
346,2008,Haute-Provence Observatory,3
345,2008,McDonald Observatory,3
366,2008,Spitzer Space Telescope,2
