sy_dist,count
85.799,14
53.6089,9
21.9814,6
47.2899,6
646.346,6
84.5362,6
202.585,6
14.682,5
73.5977,5
44.0727,5
39.0341,5
27.1701,4
74.7969,4
1020.72,4
525.997,4
67.5478,4
44.8155,4
101.694,4
31.5666,4
213.283,4
45.6181,4
157.682,4
477.052,4
10.6194,3
88.9482,3
40.0654,3
41.9091,3
33.3631,3
22.4793,3
58.2609,3
6.86929,3
169.422,3
111.059,3
783.831,3
153.676,3
194.459,3
629.161,3
29.661,3
321.296,3
268.325,3
9.7221,3
177.504,3
417.365,3
914.221,3
282.563,3
57.2651,3
6.53127,3
66.8624,3
433.047,3
132.345,3
92.2589,3
185.506,3
96.5173,3
67.5062,3
59.2474,3
161.4,2
313.576,2
43.1448,2
189.011,2
80.1423,2
32.5686,2
27.5024,2
59.7117,2
95.1274,2
142.867,2
269.898,2
9.41263,2
8.07426,2
222.663,2
246.353,2
225.734,2
64.7414,2
14.6427,2
376.658,2
244.59,2
309.137,2
412.98,2
348.494,2
427.678,2
232.98,2
405.908,2
12.5855,2
105.166,2
275.664,2
246.69,2
18.2702,2
754.258,2
300.384,2
71.0374,2
138.367,2
130.855,2
134.554,2
515.98,2
319.036,2
147.476,2
146.858,2
155.141,2
191.649,2
128.438,2
113.181,2
42.5775,2
113.335,2
294.419,2
320.451,2
130.091,2
177.945,2
289.205,2
224.731,2
22.6202,2
335.985,2
175.713,2
59.2293,2
20.1852,2
1057.41,2
1093.08,2
1005.84,2
1188.0,2
144.166,2
777.06,2
835.356,2
1177.55,2
19.8782,2
14.9861,2
1232.9,2
628.257,2
68.0726,2
132.353,2
185.615,2
181.374,2
323.265,2
137.572,2
455.203,2
149.667,2
36.0118,2
81.2271,2
37.6153,2
168.067,2
35.2736,2
336.608,2
336.267,2
51.9503,2
348.646,2
109.749,2
1455.57,2
108.522,2
200.394,2
475.758,2
79.3002,2
347.917,2
107.518,2
77.5586,2
170.562,2
314.995,2
178.475,2
272.909,2
333.042,2
154.961,2
927.981,2
250.121,2
62.4491,2
21.5618,2
10.0055,2
80.6665,2
68.192,2
67.6203,2
48.9739,2
22.4035,2
82.3432,2
99.451,2
65.9501,2
28.2938,2
38.5653,2
73.8713,2
109.353,2
100.588,2
591.555,2
655.037,2
589.423,1
338.386,1
1126.37,1
1148.93,1
1744.6,1
732.409,1
1176.12,1
764.889,1
273.703,1
12.613,1
181.69,1
322.037,1
159.906,1
645.294,1
882.472,1
925.958,1
1123.21,1
2005.76,1
1032.23,1
806.507,1
766.183,1
1010.28,1
369.926,1
175.631,1
23.606,1
63.6796,1
161.498,1
19.7638,1
107.898,1
79.5702,1
155.317,1
106.307,1
638.7,1
794.637,1
436.176,1
385.689,1
2346.01,1
158.66,1
281.742,1
151.068,1
1080.15,1
623.232,1
523.067,1
679.761,1
486.474,1
61.7856,1
36.9941,1
33.2673,1
45.683,1
35.26,1
57.5846,1
41.1706,1
95.5483,1
94.1719,1
79.208,1
48.0883,1
153.856,1
413.591,1
116.474,1
685.2,1
188.959,1
194.964,1
299.389,1
127.589,1
140.225,1
1458.83,1
240.707,1
414.537,1
603.955,1
960.109,1
1477.98,1
493.32,1
403.591,1
279.485,1
564.409,1
609.838,1
748.585,1
585.77,1
555.134,1
389.57,1
756.742,1
246.384,1
324.413,1
263.609,1
300.67,1
453.808,1
203.896,1
61.8736,1
491.87,1
268.685,1
307.47,1
233.237,1
232.801,1
114.293,1
90.0562,1
391.537,1
138.671,1
162.481,1
663.834,1
130.72,1
115.461,1
154.83,1
169.318,1
642.884,1
519.096,1
204.455,1
197.572,1
136.681,1
240.726,1
218.05,1
210.252,1
126.261,1
470.878,1
321.376,1
444.586,1
324.683,1
368.03,1
99.1596,1
518.625,1
513.877,1
508.842,1
248.46,1
745.116,1
773.974,1
835.455,1
720.753,1
341.908,1
788.238,1
185.875,1
568.117,1
397.292,1
739.412,1
881.386,1
657.223,1
262.706,1
921.986,1
1086.24,1
2305.01,1
487.916,1
194.642,1
772.11,1
446.035,1
362.273,1
800.377,1
737.668,1
1342.29,1
416.459,1
878.521,1
343.525,1
211.896,1
856.436,1
514.555,1
587.039,1
728.525,1
155.956,1
899.777,1
230.869,1
381.949,1
268.041,1
1418.77,1
1222.54,1
1878.31,1
848.023,1
686.284,1
1017.8,1
843.695,1
646.647,1
758.753,1
411.211,1
353.891,1
535.383,1
816.988,1
861.843,1
471.158,1
494.182,1
639.004,1
229.518,1
341.925,1
624.368,1
400.331,1
757.044,1
1139.55,1
513.011,1
194.033,1
1040.28,1
898.168,1
786.485,1
322.148,1
647.595,1
446.442,1
190.422,1
218.121,1
182.273,1
25.1496,1
95.9115,1
822.134,1
1021.87,1
639.411,1
922.562,1
342.14,1
555.546,1
505.703,1
306.063,1
189.875,1
213.771,1
281.498,1
705.981,1
367.658,1
329.036,1
735.601,1
559.068,1
343.863,1
1068.33,1
308.262,1
592.891,1
1096.19,1
403.458,1
39.6345,1
27.6227,1
37.8871,1
248.427,1
58.5946,1
302.819,1
72.0238,1
94.6375,1
114.048,1
281.314,1
61.4592,1
82.1733,1
129.804,1
90.5369,1
93.7345,1
168.735,1
102.551,1
421.855,1
746.138,1
944.603,1
534.889,1
283.971,1
211.553,1
330.739,1
341.079,1
341.263,1
202.152,1
371.686,1
935.456,1
