pl_imppar,count
0.2,14
0.19,13
0.31,13
0.27,12
0.32,12
0.29,11
0.21,11
0.34,11
0.53,11
0.18,11
0.23,10
0.35,10
0.3,10
0.33,10
0.6,9
0.4,9
0.14,9
0.26,9
0.16,8
0.17,8
0.51,8
0.45,8
0.13,8
0.39,8
0.22,8
0.36,7
0.42,7
0.25,7
0.5,7
0.1,7
0.41,7
0.56,6
0.84,6
0.24,6
0.52,6
0.59,5
0.65,5
0.37,5
0.61,5
0.47,5
0.46,5
0.43,4
0.58,4
0.57,4
0.09,4
0.7,4
0.55,4
0.689,4
0.69,4
0.633,4
0.63,4
0.62,4
0.12,4
0.11,4
0.01,3
0.49,3
0.347,3
0.87,3
0.28,3
0.15,3
0.71,3
0.93,3
0.645,3
0.271,3
0.38,3
0.67,3
0.406,3
0.328,3
0.08,3
0.86,3
0.724,3
0.736,3
0.74,3
0.584,3
0.48,3
0.631,3
0.66,3
0.81,3
0.64,3
0.083,3
0.97,3
0.419,3
0.668,2
0.766,2
0.511,2
0.76,2
0.3528,2
0.77,2
0.54,2
0.299,2
0.8,2
0.499,2
0.309,2
0.361,2
0.423,2
0.364,2
0.505,2
0.373,2
0.404,2
0.324,2
0.174,2
0.172,2
0.75,2
0.757,2
0.718,2
0.771,2
0.268,2
0.156,2
0.854,2
0.417,2
0.097,2
0.462,2
0.808,2
0.657,2
0.272,2
0.181,2
0.728,2
0.785,2
0.89,2
0.836,2
0.602,2
0.741,2
0.767,2
0.232,2
0.44,2
0.709,2
0.675,2
0.478,2
0.536,2
0.732,2
0.212,2
0.464,2
0.281,2
0.629,2
0.2732,2
0.134,2
0.325,2
0.336,2
0.217,2
0.849,2
0.937,2
0.452,2
0.476,2
0.696,2
0.283,2
0.348,2
0.504,2
0.643,2
0.655,2
0.457,2
0.481,2
0.662,2
0.221,2
0.825,2
0.573,2
0.85,2
0.614,1
0.9099,1
0.8108,1
0.818,1
0.374,1
0.345,1
0.322,1
0.91,1
0.839,1
0.279,1
0.7556,1
0.624,1
0.3387,1
0.8763,1
0.674,1
0.994,1
0.9073,1
0.7348,1
0.313,1
0.827,1
0.4693,1
0.9521,1
0.772,1
0.7127,1
0.634,1
0.862,1
0.487,1
0.497,1
0.502,1
0.667,1
0.321,1
0.508,1
0.427,1
0.198,1
0.421,1
0.628,1
0.953,1
0.401,1
0.8216,1
0.826,1
0.403,1
0.3231,1
0.4824,1
0.5229,1
0.876,1
0.386,1
0.872,1
0.4586,1
0.111,1
0.153,1
0.207,1
0.8613,1
0.587,1
0.264,1
0.158,1
0.3952,1
0.838,1
0.813,1
0.9245,1
0.92,1
0.538,1
0.276,1
0.949,1
0.432,1
0.317,1
0.249,1
0.589,1
0.203,1
0.496,1
0.366,1
0.4244,1
0.489,1
0.5931,1
0.566,1
0.783,1
0.2958,1
0.5053,1
0.4882,1
0.2822,1
0.248,1
0.133,1
0.1692,1
0.451,1
0.665,1
0.6894,1
0.72,1
0.5324,1
0.2909,1
0.2477,1
0.3966,1
0.5188,1
1.169,1
0.4918,1
0.262,1
0.8299,1
0.534,1
0.8725,1
0.392,1
0.461,1
0.277,1
0.425,1
0.626,1
0.3293,1
0.68,1
0.646,1
0.474,1
0.438,1
0.05,1
0.122,1
0.201,1
0.108,1
0.391,1
0.558,1
0.468,1
0.241,1
0.369,1
0.677,1
0.702,1
0.791,1
0.088,1
0.2536,1
0.177,1
0.597,1
0.606,1
0.061,1
0.576,1
0.102,1
0.8622,1
0.831,1
0.586,1
0.389,1
0.822,1
0.857,1
0.721,1
0.359,1
0.463,1
0.763,1
0.116,1
0.339,1
0.754,1
0.577,1
0.222,1
0.349,1
0.372,1
0.395,1
0.352,1
0.311,1
0.439,1
0.342,1
0.891,1
0.055,1
0.3006,1
0.781,1
0.7193,1
0.574,1
0.672,1
0.045,1
0.022,1
0.768,1
0.588,1
0.594,1
0.593,1
0.9471,1
0.114,1
0.169,1
0.554,1
0.446,1
0.341,1
0.685,1
0.684,1
0.445,1
0.398,1
0.751,1
1.017,1
0.251,1
0.393,1
0.9288,1
1.076,1
0.448,1
0.979,1
0.082,1
0.503,1
0.648,1
0.183,1
0.688,1
0.807,1
0.509,1
0.9948,1
0.794,1
0.756,1
0.518,1
0.922,1
0.601,1
0.1765,1
0.579,1
0.727,1
0.963,1
0.056,1
0.278,1
0.4012,1
0.2829,1
0.705,1
0.007,1
0.995,1
0.154,1
0.753,1
0.861,1
0.119,1
0.704,1
0.9,1
0.096,1
0.115,1
0.379,1
0.297,1
0.976,1
0.652,1
0.522,1
0.6355,1
0.5958,1
0.5656,1
0.4252,1
0.4548,1
0.802,1
0.8288,1
0.6905,1
0.3292,1
0.4946,1
0.3825,1
0.7531,1
0.2356,1
0.3429,1
0.4834,1
0.5262,1
0.533,1
0.2722,1
0.243,1
0.8599,1
0.2906,1
0.4978,1
1.04,1
0.958,1
0.5003,1
0.3546,1
0.769,1
0.549,1
0.714,1
0.065,1
0.117,1
0.591,1
0.8045,1
0.4198,1
0.441,1
0.5068,1
0.3331,1
0.3187,1
0.5704,1
0.2419,1
0.881,1
0.2987,1
0.412,1
0.2554,1
0.5652,1
0.2938,1
0.2595,1
0.9221,1
0.416,1
0.266,1
0.375,1
0.365,1
0.136,1
0.3588,1
0.924,1
0.211,1
0.82,1
0.8927,1
0.4428,1
0.4602,1
0.312,1
0.357,1
0.7393,1
0.5348,1
0.4892,1
0.3716,1
0.3161,1
0.2677,1
0.4939,1
0.5072,1
0.1751,1
0.3234,1
0.5147,1
0.3896,1
0.2648,1
0.4255,1
0.1352,1
0.2661,1
0.3746,1
0.078,1
0.3592,1
