,soltype
0,Published Confirmed
1,Published Confirmed
2,Published Confirmed
3,Published Confirmed
4,Published Confirmed
5,Published Confirmed
6,Published Confirmed
7,Published Confirmed
8,Published Confirmed
9,Published Confirmed
10,Published Confirmed
11,Published Confirmed
12,Published Confirmed
13,Published Confirmed
14,Published Confirmed
15,Published Confirmed
16,Published Confirmed
17,Published Confirmed
18,Published Confirmed
19,Published Confirmed
20,Published Confirmed
21,Published Confirmed
22,Published Confirmed
23,Published Confirmed
24,Published Confirmed
25,Published Confirmed
26,Published Confirmed
27,Published Confirmed
28,Published Confirmed
29,Published Confirmed
30,Published Confirmed
31,Published Confirmed
32,Published Confirmed
33,Published Confirmed
34,Published Confirmed
35,Published Confirmed
36,Published Confirmed
37,Published Confirmed
38,Published Confirmed
39,Published Confirmed
40,Published Confirmed
41,Published Confirmed
42,Published Confirmed
43,Published Confirmed
44,Published Confirmed
45,Published Confirmed
46,Published Confirmed
47,Published Confirmed
48,Published Confirmed
49,Published Confirmed
50,Published Confirmed
51,Published Confirmed
52,Published Confirmed
53,Published Confirmed
54,Published Confirmed
55,Published Confirmed
56,Published Confirmed
57,Published Confirmed
58,Published Confirmed
59,Published Confirmed
60,Published Confirmed
61,Published Confirmed
62,Published Confirmed
63,Published Confirmed
64,Published Confirmed
65,Published Confirmed
66,Published Confirmed
67,Published Confirmed
68,Published Confirmed
69,Published Confirmed
70,Published Confirmed
71,Published Confirmed
72,Published Confirmed
73,Published Confirmed
74,Published Confirmed
75,Published Confirmed
76,Published Confirmed
77,Published Confirmed
78,Published Confirmed
79,Published Confirmed
80,Published Confirmed
81,Published Confirmed
82,Published Confirmed
83,Published Confirmed
84,Published Confirmed
85,Published Confirmed
86,Published Confirmed
87,Published Confirmed
88,Published Confirmed
89,Published Confirmed
90,Published Confirmed
91,Published Confirmed
92,Published Confirmed
93,Published Confirmed
94,Published Confirmed
95,Published Confirmed
96,Published Confirmed
97,Published Confirmed
98,Published Confirmed
99,Published Confirmed
100,Published Confirmed
101,Published Confirmed
102,Published Confirmed
103,Published Confirmed
104,Published Confirmed
105,Published Confirmed
106,Published Confirmed
107,Published Confirmed
108,TESS Project Candidate
109,Published Confirmed
110,Published Confirmed
111,Published Confirmed
112,Published Confirmed
113,Published Confirmed
114,Published Confirmed
115,Published Confirmed
116,Published Confirmed
117,Published Confirmed
118,Published Confirmed
119,Published Confirmed
120,Published Confirmed
121,Published Confirmed
122,Published Confirmed
123,Published Confirmed
124,Published Confirmed
125,Published Confirmed
126,Published Confirmed
127,Published Confirmed
128,Published Confirmed
129,Published Confirmed
130,Published Confirmed
131,Published Confirmed
132,Published Confirmed
133,Published Confirmed
134,Published Confirmed
135,Published Confirmed
136,Published Confirmed
137,Published Confirmed
138,Published Confirmed
139,Published Confirmed
140,Published Confirmed
141,Published Confirmed
142,Published Confirmed
143,Published Confirmed
144,Published Confirmed
145,Published Confirmed
146,Published Confirmed
147,Published Confirmed
148,Published Confirmed
149,Published Confirmed
150,Published Confirmed
151,Published Confirmed
152,Published Confirmed
153,Published Confirmed
154,Published Confirmed
155,Published Confirmed
156,Published Confirmed
157,Published Confirmed
158,Published Confirmed
159,Published Confirmed
160,Published Confirmed
161,Published Confirmed
162,Published Confirmed
163,Published Confirmed
164,Published Confirmed
165,Published Confirmed
166,Published Confirmed
167,TESS Project Candidate
168,Published Confirmed
169,Published Confirmed
170,Published Confirmed
171,Published Confirmed
172,Published Confirmed
173,Published Confirmed
174,Published Confirmed
175,Published Confirmed
176,Published Confirmed
177,Published Confirmed
178,Published Confirmed
179,Published Confirmed
180,Published Confirmed
181,Published Confirmed
182,Published Confirmed
183,Published Confirmed
184,Published Confirmed
185,Published Confirmed
186,Published Confirmed
187,Published Confirmed
188,Published Confirmed
189,Published Confirmed
190,Published Confirmed
191,Published Confirmed
192,Published Confirmed
193,Published Confirmed
194,Published Confirmed
195,Published Confirmed
196,Published Confirmed
197,Published Confirmed
198,Published Confirmed
199,Published Confirmed
200,Published Confirmed
201,Published Confirmed
202,Published Confirmed
203,Published Confirmed
204,Published Confirmed
205,Published Confirmed
206,Published Confirmed
207,Published Confirmed
208,Published Confirmed
209,Published Confirmed
210,Published Confirmed
211,Published Confirmed
212,Published Confirmed
213,Published Confirmed
214,Published Confirmed
215,Published Confirmed
216,TESS Project Candidate
217,Published Confirmed
218,Published Confirmed
219,Published Confirmed
220,Published Confirmed
221,Published Confirmed
222,Published Confirmed
223,Published Confirmed
224,Published Confirmed
225,Published Confirmed
226,Published Confirmed
227,Published Confirmed
228,Published Confirmed
229,Published Confirmed
230,Published Confirmed
231,Published Confirmed
232,Published Confirmed
233,Published Confirmed
234,Published Confirmed
235,Published Confirmed
236,Published Confirmed
237,TESS Project Candidate
238,Published Confirmed
239,Published Confirmed
240,Published Confirmed
241,Published Confirmed
242,Published Confirmed
243,Published Confirmed
244,Published Confirmed
245,Published Confirmed
246,TESS Project Candidate
247,Published Confirmed
248,Published Confirmed
249,Published Confirmed
250,Published Confirmed
251,Published Confirmed
252,TESS Project Candidate
253,Published Confirmed
254,Published Confirmed
255,Published Confirmed
256,Published Confirmed
257,TESS Project Candidate
258,Published Confirmed
259,Published Confirmed
260,Published Confirmed
261,Published Confirmed
262,Published Confirmed
263,Published Confirmed
264,Published Confirmed
265,Published Confirmed
266,Published Confirmed
267,Published Confirmed
268,Published Confirmed
269,Published Confirmed
270,Published Confirmed
271,Published Confirmed
272,Published Confirmed
273,TESS Project Candidate
274,Published Confirmed
275,Published Confirmed
276,Published Confirmed
277,TESS Project Candidate
278,Published Confirmed
279,Published Confirmed
280,Published Confirmed
281,Published Confirmed
282,Published Confirmed
283,TESS Project Candidate
284,Published Confirmed
285,Published Confirmed
286,Published Confirmed
287,Published Confirmed
288,Published Confirmed
289,Published Confirmed
290,Published Confirmed
291,Published Confirmed
292,Published Confirmed
293,Published Confirmed
294,Published Confirmed
295,TESS Project Candidate
296,Published Confirmed
297,Published Confirmed
298,Published Confirmed
299,Published Confirmed
300,Published Confirmed
301,Published Confirmed
302,Published Confirmed
303,Published Confirmed
304,Published Confirmed
305,Published Confirmed
306,Published Confirmed
307,Published Confirmed
308,Published Confirmed
309,Published Confirmed
310,Published Confirmed
311,Published Confirmed
312,Published Confirmed
313,Published Confirmed
314,Published Confirmed
315,Published Confirmed
316,Published Confirmed
317,Published Confirmed
318,Published Confirmed
319,Published Confirmed
320,Published Confirmed
321,Published Confirmed
322,Published Confirmed
323,Published Confirmed
324,Published Confirmed
325,Published Confirmed
326,Published Confirmed
327,Published Confirmed
328,Published Confirmed
329,Published Confirmed
330,TESS Project Candidate
331,Published Confirmed
332,TESS Project Candidate
333,Published Confirmed
334,Published Confirmed
335,Published Confirmed
336,Published Confirmed
337,Published Confirmed
338,Published Confirmed
339,Published Confirmed
340,Published Confirmed
341,Published Confirmed
342,Published Confirmed
343,Published Confirmed
344,Published Confirmed
345,Published Confirmed
346,Published Confirmed
347,Published Confirmed
348,Published Confirmed
349,Published Confirmed
350,Published Confirmed
351,Published Confirmed
352,Published Confirmed
353,Published Confirmed
354,Published Confirmed
355,Published Confirmed
356,Published Confirmed
357,Published Confirmed
358,Published Confirmed
359,Published Confirmed
360,Published Confirmed
361,Published Confirmed
362,Published Confirmed
363,Published Confirmed
364,Published Confirmed
365,Published Confirmed
366,Published Confirmed
367,Published Confirmed
368,Published Confirmed
369,Published Confirmed
370,Published Confirmed
371,Published Confirmed
372,Published Confirmed
373,Published Confirmed
374,Published Confirmed
375,Published Confirmed
376,Published Confirmed
377,Published Confirmed
378,TESS Project Candidate
379,Published Confirmed
380,Published Confirmed
381,Published Confirmed
382,Published Confirmed
383,Published Candidate
384,Published Confirmed
385,Published Confirmed
386,Published Candidate
387,Published Confirmed
388,Published Candidate
389,Published Confirmed
390,Published Confirmed
391,Published Confirmed
392,Published Confirmed
393,Published Candidate
394,Published Candidate
395,Published Confirmed
396,Published Confirmed
397,Published Confirmed
398,Published Candidate
399,Published Confirmed
400,Published Confirmed
401,Published Candidate
402,Published Candidate
403,Published Confirmed
404,Published Candidate
405,Published Candidate
406,Published Candidate
407,Published Confirmed
408,Published Candidate
409,Published Confirmed
410,Published Confirmed
411,Published Candidate
412,Published Confirmed
413,Published Candidate
414,Published Confirmed
415,Published Confirmed
416,Published Candidate
417,Published Confirmed
418,Published Confirmed
419,Published Candidate
420,Published Candidate
421,Published Candidate
422,Published Confirmed
423,Published Confirmed
424,Published Candidate
425,Published Candidate
426,Published Confirmed
427,Published Candidate
428,Published Confirmed
429,Published Confirmed
430,Published Confirmed
431,Published Candidate
432,TESS Project Candidate
433,Published Candidate
434,Published Confirmed
435,Published Candidate
436,Published Candidate
437,Published Candidate
438,Published Candidate
439,Published Candidate
440,Published Confirmed
441,Published Confirmed
442,Published Confirmed
443,Published Candidate
444,Published Candidate
445,Published Confirmed
446,Published Candidate
447,Published Confirmed
448,Published Confirmed
449,Published Candidate
450,Published Confirmed
451,Published Candidate
452,Published Candidate
453,Published Candidate
454,Published Candidate
455,Published Confirmed
456,Published Candidate
457,Published Confirmed
458,Published Candidate
459,Published Confirmed
460,Published Candidate
461,Published Confirmed
462,Published Candidate
463,Published Confirmed
464,Published Confirmed
465,Published Confirmed
466,Published Candidate
467,Published Confirmed
468,Published Confirmed
469,Published Confirmed
470,Published Confirmed
471,Published Confirmed
472,Published Confirmed
473,Published Confirmed
474,Published Confirmed
475,Published Confirmed
476,Published Candidate
477,Published Candidate
478,Published Candidate
479,Published Confirmed
480,Published Confirmed
481,Published Candidate
482,Published Confirmed
483,Published Confirmed
484,Published Confirmed
485,Published Confirmed
486,Published Confirmed
487,Published Confirmed
488,Published Candidate
489,Published Candidate
490,Published Candidate
491,Published Confirmed
492,Published Confirmed
493,Published Confirmed
494,TESS Project Candidate
495,Published Confirmed
496,Published Confirmed
497,Published Confirmed
498,Published Confirmed
499,Published Confirmed
500,Published Confirmed
501,Published Confirmed
502,Published Confirmed
503,Published Confirmed
504,Published Candidate
505,TESS Project Candidate
506,Published Confirmed
507,Published Confirmed
508,Published Confirmed
509,Published Confirmed
510,Published Confirmed
511,Published Confirmed
512,Published Confirmed
513,TESS Project Candidate
514,Published Confirmed
515,Published Confirmed
516,Published Confirmed
517,Published Confirmed
518,Published Confirmed
519,Published Confirmed
520,Published Confirmed
521,Published Confirmed
522,Published Confirmed
523,Published Confirmed
524,Published Confirmed
525,Published Confirmed
526,Published Confirmed
527,Published Confirmed
528,Published Confirmed
529,Published Confirmed
530,Published Confirmed
531,Published Confirmed
532,Published Confirmed
533,Published Confirmed
534,Published Confirmed
535,Published Confirmed
536,Published Confirmed
537,Published Confirmed
538,Published Confirmed
539,Published Confirmed
540,Published Confirmed
541,Published Confirmed
542,Published Confirmed
543,Published Confirmed
544,Published Confirmed
545,Published Confirmed
546,Published Confirmed
547,TESS Project Candidate
548,Published Confirmed
549,Published Confirmed
550,Published Confirmed
551,Published Confirmed
552,Published Confirmed
553,TESS Project Candidate
554,Published Confirmed
555,Published Confirmed
556,Published Confirmed
557,Published Confirmed
558,Published Confirmed
559,Published Confirmed
560,Published Confirmed
561,Published Confirmed
562,Published Confirmed
563,Published Confirmed
564,Published Confirmed
565,Published Confirmed
566,Published Confirmed
567,Published Confirmed
568,Published Confirmed
569,Published Confirmed
570,Published Confirmed
571,Published Confirmed
572,Published Confirmed
573,Published Confirmed
574,Published Confirmed
575,Published Confirmed
576,Published Confirmed
577,Published Confirmed
578,Published Confirmed
579,TESS Project Candidate
580,Published Confirmed
581,Published Confirmed
582,Published Confirmed
583,Published Confirmed
584,Published Confirmed
585,Published Confirmed
586,Published Confirmed
587,TESS Project Candidate
588,Published Confirmed
589,Published Confirmed
590,Published Confirmed
591,Published Confirmed
592,Published Confirmed
593,Published Confirmed
594,Published Confirmed
595,Published Confirmed
596,Published Confirmed
597,Published Confirmed
598,Published Confirmed
599,Published Confirmed
600,Published Confirmed
601,Published Confirmed
602,Published Confirmed
603,Published Confirmed
604,Published Confirmed
605,Published Confirmed
606,Published Confirmed
607,Published Confirmed
608,Published Confirmed
609,Published Confirmed
610,Published Confirmed
611,Published Confirmed
612,Published Confirmed
613,Published Confirmed
614,Published Confirmed
615,Published Confirmed
616,Published Confirmed
617,TESS Project Candidate
618,Published Confirmed
619,Published Confirmed
620,Published Confirmed
621,Published Confirmed
622,Published Confirmed
623,Published Confirmed
624,Published Confirmed
625,Published Confirmed
626,TESS Project Candidate
627,Published Confirmed
628,Published Confirmed
629,Published Confirmed
630,Published Confirmed
631,Published Confirmed
632,Published Confirmed
633,Published Confirmed
634,TESS Project Candidate
635,Published Confirmed
636,Published Confirmed
637,Published Confirmed
638,Published Confirmed
639,TESS Project Candidate
640,Published Confirmed
641,Published Confirmed
642,Published Confirmed
643,Published Confirmed
644,Published Confirmed
645,Published Confirmed
646,Published Confirmed
647,TESS Project Candidate
648,Published Confirmed
649,Published Confirmed
650,Published Confirmed
651,Published Confirmed
652,Published Confirmed
653,Published Confirmed
654,Published Confirmed
655,Published Confirmed
656,Published Confirmed
657,Published Confirmed
658,Published Confirmed
659,Published Confirmed
660,Published Confirmed
661,Published Confirmed
662,Published Confirmed
663,Published Confirmed
664,Published Confirmed
665,Published Confirmed
666,Published Confirmed
667,Published Confirmed
668,Published Confirmed
669,Published Confirmed
670,Published Confirmed
671,Published Confirmed
672,Published Confirmed
673,Published Confirmed
674,Published Confirmed
675,Published Confirmed
676,Published Confirmed
677,Published Confirmed
678,Published Confirmed
679,Published Confirmed
680,Published Confirmed
681,Published Confirmed
682,Published Confirmed
683,Published Confirmed
684,Published Confirmed
685,Published Confirmed
686,Published Confirmed
687,Published Confirmed
688,Published Confirmed
689,Published Confirmed
690,Published Confirmed
691,Published Confirmed
692,Published Confirmed
693,TESS Project Candidate
694,Published Confirmed
695,Published Confirmed
696,Published Confirmed
697,Published Confirmed
698,Published Confirmed
699,Published Confirmed
700,TESS Project Candidate
701,Published Confirmed
702,Published Confirmed
703,Published Confirmed
704,Published Confirmed
705,Published Confirmed
706,Published Confirmed
707,Published Confirmed
708,Published Confirmed
709,Published Confirmed
710,Published Confirmed
711,Published Confirmed
712,Published Confirmed
713,Published Confirmed
714,Published Confirmed
715,Published Confirmed
716,Published Confirmed
717,Published Confirmed
718,Published Confirmed
719,Published Confirmed
720,Published Confirmed
721,Published Confirmed
722,Published Confirmed
723,Published Confirmed
724,Published Confirmed
725,Published Confirmed
726,Published Confirmed
727,Published Confirmed
728,Published Confirmed
729,Published Confirmed
730,Published Confirmed
731,Published Confirmed
732,Published Confirmed
733,Published Confirmed
734,Published Confirmed
735,Published Confirmed
736,Published Confirmed
737,Published Confirmed
738,Published Confirmed
739,Published Confirmed
740,Published Confirmed
741,Published Confirmed
742,Published Confirmed
743,Published Confirmed
744,Published Confirmed
745,Published Confirmed
746,Published Confirmed
747,Published Confirmed
748,Published Confirmed
749,Published Confirmed
750,Published Confirmed
751,Published Confirmed
752,Published Confirmed
753,Published Confirmed
754,Published Confirmed
755,Published Confirmed
756,Published Confirmed
757,Published Confirmed
758,Published Confirmed
759,Published Confirmed
760,Published Confirmed
761,Published Confirmed
762,Published Confirmed
763,TESS Project Candidate
764,Published Confirmed
765,Published Confirmed
766,Published Confirmed
767,Published Confirmed
768,Published Confirmed
769,Published Confirmed
770,Published Confirmed
771,Published Confirmed
772,Published Confirmed
773,Published Confirmed
774,Published Confirmed
775,Published Confirmed
776,Published Confirmed
777,Published Confirmed
778,Published Confirmed
779,Published Confirmed
780,Published Confirmed
781,Published Confirmed
782,Published Confirmed
783,Published Confirmed
784,Published Confirmed
785,Published Confirmed
786,Published Confirmed
787,Published Confirmed
788,Published Confirmed
789,Published Confirmed
790,Published Confirmed
791,Published Confirmed
792,Published Confirmed
793,Published Confirmed
794,Published Confirmed
795,Published Confirmed
796,Published Confirmed
797,Published Confirmed
798,Published Confirmed
799,Published Confirmed
800,Published Confirmed
801,Published Confirmed
802,Published Confirmed
803,Published Confirmed
804,Published Confirmed
805,Published Confirmed
806,Published Confirmed
807,Published Confirmed
808,Published Confirmed
809,Published Confirmed
810,Published Confirmed
811,Published Confirmed
812,Published Confirmed
813,Published Confirmed
814,Published Confirmed
815,Published Confirmed
816,Published Confirmed
817,Published Confirmed
818,Published Confirmed
819,Published Confirmed
820,Published Confirmed
821,Published Confirmed
822,Published Confirmed
823,Published Confirmed
824,Published Confirmed
825,Published Confirmed
826,TESS Project Candidate
827,Published Confirmed
828,Published Confirmed
829,Published Confirmed
830,Published Confirmed
831,Published Confirmed
832,Published Confirmed
833,Published Confirmed
834,Published Confirmed
835,Published Confirmed
836,Published Confirmed
837,Published Confirmed
838,Published Confirmed
839,Published Confirmed
840,Published Confirmed
841,Published Confirmed
842,TESS Project Candidate
843,Published Confirmed
844,Published Confirmed
845,Published Confirmed
846,Published Confirmed
847,Published Confirmed
848,Published Confirmed
849,Published Confirmed
850,Published Confirmed
851,Published Confirmed
852,Published Confirmed
853,TESS Project Candidate
854,Published Confirmed
855,Published Confirmed
856,Published Confirmed
857,Published Confirmed
858,Published Confirmed
859,Published Confirmed
860,Published Confirmed
861,Published Confirmed
862,Published Confirmed
863,Published Confirmed
864,Published Confirmed
865,Published Confirmed
866,TESS Project Candidate
867,Published Confirmed
868,Published Confirmed
869,Published Confirmed
870,Published Confirmed
871,Published Confirmed
872,TESS Project Candidate
873,Published Confirmed
874,Published Confirmed
875,Published Confirmed
876,Published Confirmed
877,Published Confirmed
878,Published Confirmed
879,Published Confirmed
880,Published Confirmed
881,Published Confirmed
882,Published Confirmed
883,Published Confirmed
884,Published Confirmed
885,Published Confirmed
886,Kepler Project Candidate (q1_q12_koi)
887,Published Confirmed
888,Published Confirmed
889,Published Confirmed
890,Published Confirmed
891,Published Confirmed
892,Published Confirmed
893,Kepler Project Candidate (q1_q17_dr24_koi)
894,Published Confirmed
895,Published Confirmed
896,TESS Project Candidate
897,Kepler Project Candidate (q1_q8_koi)
898,Published Confirmed
899,Published Confirmed
900,Kepler Project Candidate (q1_q16_koi)
901,Kepler Project Candidate (q1_q17_dr25_koi)
902,Published Confirmed
903,Kepler Project Candidate (q1_q17_dr25_sup_koi)
904,Published Confirmed
905,Published Confirmed
906,Published Confirmed
907,Published Confirmed
908,Published Confirmed
909,Published Confirmed
910,Published Confirmed
911,TESS Project Candidate
912,Published Confirmed
913,Published Confirmed
914,Published Confirmed
915,Published Confirmed
916,Published Confirmed
917,Published Confirmed
918,Published Confirmed
919,Published Confirmed
920,Published Confirmed
921,Published Confirmed
922,Published Confirmed
923,Published Confirmed
924,Published Confirmed
925,Published Confirmed
926,Published Confirmed
927,Published Confirmed
928,Published Confirmed
929,TESS Project Candidate
930,Published Confirmed
931,Published Confirmed
932,Published Confirmed
933,Published Confirmed
934,Published Confirmed
935,Published Confirmed
936,Published Confirmed
937,Published Confirmed
938,Published Confirmed
939,Published Confirmed
940,Published Confirmed
941,Published Confirmed
942,Published Confirmed
943,Published Confirmed
944,Published Confirmed
945,Published Confirmed
946,Published Confirmed
947,Published Confirmed
948,TESS Project Candidate
949,Published Confirmed
950,Published Confirmed
951,TESS Project Candidate
952,Published Confirmed
953,Published Confirmed
954,Published Confirmed
955,Published Confirmed
956,Published Confirmed
957,Published Confirmed
958,Published Confirmed
959,Published Confirmed
960,Published Confirmed
961,Published Confirmed
962,Published Confirmed
963,TESS Project Candidate
964,Published Confirmed
965,Published Confirmed
966,Published Confirmed
967,Published Confirmed
968,Published Confirmed
969,Published Confirmed
970,Published Confirmed
971,TESS Project Candidate
972,Published Confirmed
973,Published Confirmed
974,Published Confirmed
975,Published Confirmed
976,Published Confirmed
977,Published Confirmed
978,Published Confirmed
979,Published Confirmed
980,Published Confirmed
981,Published Confirmed
982,Published Confirmed
983,Published Confirmed
984,Published Confirmed
985,Published Confirmed
986,Published Confirmed
987,Published Confirmed
988,Published Confirmed
989,Published Confirmed
990,TESS Project Candidate
991,Published Confirmed
992,Published Confirmed
993,TESS Project Candidate
994,Published Confirmed
995,Published Confirmed
996,Published Confirmed
997,Published Confirmed
998,Published Confirmed
999,Published Confirmed
1000,Published Confirmed
1001,TESS Project Candidate
1002,Published Confirmed
1003,Published Confirmed
1004,Published Confirmed
1005,Published Confirmed
1006,Published Confirmed
1007,Published Confirmed
1008,Published Confirmed
1009,Published Confirmed
1010,Published Confirmed
1011,Published Confirmed
1012,Published Confirmed
1013,Published Confirmed
1014,Published Confirmed
1015,Published Confirmed
1016,Published Confirmed
1017,Published Confirmed
1018,Published Confirmed
1019,Published Confirmed
1020,TESS Project Candidate
1021,Published Confirmed
1022,Published Confirmed
1023,Published Confirmed
1024,Published Confirmed
1025,Published Confirmed
1026,Published Confirmed
1027,Published Confirmed
1028,Published Confirmed
1029,Published Confirmed
1030,Published Confirmed
1031,TESS Project Candidate
1032,Published Confirmed
1033,Published Confirmed
1034,Published Confirmed
1035,Published Confirmed
1036,Published Confirmed
1037,Published Confirmed
1038,TESS Project Candidate
1039,Published Confirmed
1040,Published Confirmed
1041,Published Confirmed
1042,Published Confirmed
1043,Published Confirmed
1044,Published Confirmed
1045,Published Confirmed
1046,Published Confirmed
1047,Published Confirmed
1048,TESS Project Candidate
1049,Published Confirmed
1050,Published Confirmed
1051,Published Confirmed
1052,Published Confirmed
1053,Published Confirmed
1054,Published Confirmed
1055,Published Confirmed
1056,Published Confirmed
1057,Published Confirmed
1058,Published Confirmed
1059,Published Confirmed
1060,Published Confirmed
1061,Published Confirmed
1062,TESS Project Candidate
1063,Published Confirmed
1064,Published Confirmed
1065,Published Confirmed
1066,Published Confirmed
1067,TESS Project Candidate
1068,Published Confirmed
1069,Published Confirmed
1070,Published Confirmed
1071,Published Confirmed
1072,Published Confirmed
1073,Published Confirmed
1074,Published Confirmed
1075,Published Confirmed
1076,TESS Project Candidate
1077,Published Confirmed
1078,Published Confirmed
1079,Published Confirmed
1080,Published Confirmed
1081,Published Confirmed
