,st_age,st_lum
33,5.24,-0.155
43,3.9,-0.15
51,11.8,0.143
59,7.4,0.076
76,8.36,0.23
82,5.13,2.254
93,0.005,-0.37
96,0.01,-0.37
100,6.92,1.774
103,2.7,1.164
110,0.12,-1.72
113,0.035,-2.23
116,0.022,-2.64
117,0.022,-2.59
120,0.003,-1.164
176,6.48,0.233
190,0.02,0.85
218,6.76,0.161
248,10.2,-0.235
258,9.5,-0.18
272,8.96,-0.095
275,8.96,-0.06
288,8.6,-0.085
306,4.3,1.063
308,7.77,0.451
311,7.92,0.501
360,0.003,1.771
367,1.0,-0.4
373,0.4,0.29
385,0.022,-1.046
386,0.022,-1.046
389,0.022,-1.046
393,0.02,-1.038
396,0.018,-0.99
400,5.2,2.7
408,7.41,1.57
412,7.1,2.01
423,3.34,-0.056
440,2.34,1.47
443,0.1,0.356
449,4.4,-1.022
457,1.0,-0.313
468,7.4,-0.804
477,2.24,1.06
479,2.24,0.09
483,4.3,-0.678
492,6.2,-0.87
493,3.0,-2.533
496,0.003,-2.85
499,0.003,-0.108
503,0.475,-1.732
535,6.17,0.07
565,0.032,-0.17
570,5.0,0.544
596,4.0,0.17
665,6.31,0.18
683,1.7,-0.4
716,2.0,0.104
724,2.15,0.459
731,0.045,-0.14
806,0.79,-1.153
860,5.0,-0.119
876,3.02,0.526
887,0.001,-0.699
892,9.9,-1.971
899,7.0,-2.77
907,5.0,-2.359
959,3.8,-0.686
984,6.0,-1.708
1117,4.0,-1.101
1118,4.0,-1.103
1125,4.0,-1.101
1133,1.65,-1.538
1134,1.65,-1.538
1147,5.5,-2.804
1158,5.0,-1.699
1172,7.1,-1.963
1230,12.4,-0.924
1233,11.2,-1.319
1245,6.9,-1.706
1275,6.0,-1.585
1292,4.0,-1.916
1303,0.16,0.332
1327,1.4,0.36
1336,0.8,-1.367
1364,4.3,-1.886
1365,2.0,-1.886
1388,2.0,-1.863
1401,0.55,-1.796
1462,5.0,-1.585
1498,11.3,-0.377
1513,1.0,-1.907
1522,2.55,-1.886
1525,2.88,-1.434
1568,8.9,-1.2
1581,0.27,0.727
1593,0.005,-0.42
1594,0.01,-0.42
1636,7.0,-2.131
1640,3.6,0.18
1641,3.6,0.18
1646,2.7,0.17
1659,6.5,-0.585
1683,2.5,-0.68
1686,2.5,-0.678
1694,5.0,0.346
1707,1.3,0.563
1709,1.6,0.592
1715,6.8,0.0
1730,2.0,0.294
1732,7.8,-0.319
1744,12.4,-0.569
1748,8.8,-0.432
1751,7.2,-0.485
1758,2.6,0.485
1763,2.6,0.505
1766,2.6,0.577
1770,1.44,0.53
1779,6.7,-0.721
1782,10.2,0.025
1789,12.4,-0.114
1803,4.0,0.199
1812,2.8,0.408
1819,3.2,-0.125
1830,9.0,-0.42
1836,4.4,-0.244
1842,6.1,0.053
1851,2.2,0.265
1854,1.6,-0.36
1856,0.4,-0.355
1864,1.6,-0.362
1867,1.5,-0.348
1876,1.0,0.312
1965,4.2,0.428
1967,4.2,0.43
1986,5.2,0.356
1989,5.7,0.045
1998,7.5,-0.194
2000,2.0,0.4
2005,2.5,0.391
2014,1.5,0.814
2023,2.6,0.187
2027,3.37,0.603
2033,8.2,-0.066
2034,8.1,-0.102
2037,9.4,-0.305
2046,4.67,0.217
2051,3.9,-0.902
2061,5.3,0.097
2081,1.0,0.806
2082,7.11,0.456
2087,7.3,0.054
2093,2.3,0.553
2102,2.765,0.809
2103,2.6,-0.115
2106,8.1,0.091
2109,9.0,-0.146
2114,2.88,0.668
2115,3.9,0.473
2119,5.46,0.555
2122,4.66,0.615
2124,1.24,0.939
2131,11.1,-0.779
2134,1.27,1.0
2157,2.07,0.77
2164,0.6,1.223
2193,3.3,0.117
2199,7.7,0.403
2206,2.36,0.863
2220,11.0,-0.204
2221,9.5,0.173
2226,2.1,0.093
2231,4.2,-0.032
2237,9.7,-0.268
2247,4.2,0.155
2251,3.7,0.19
2252,0.88,0.292
2257,7.5,0.068
2260,4.04,0.704
2263,2.3,0.669
2268,6.2,-0.157
2271,5.5,0.029
2276,3.2,0.456
2282,2.3,0.097
2288,4.3,0.619
2292,3.5,0.057
2298,3.0,-0.018
2300,7.7,-0.14
2306,2.13,0.465
2308,0.62,0.215
2314,11.46,-0.256
2316,11.46,-0.921
2317,11.89,0.072
2323,2.06,0.64
2327,2.1,-0.187
2332,2.07,0.903
2336,1.34,0.653
2341,3.26,0.425
2342,8.6,-0.398
2348,9.7,-0.398
2350,1.52,0.425
2355,3.0,-0.23
2361,8.1,-0.796
2362,11.97,-0.709
2368,10.5,-0.785
2373,3.6,-0.268
2376,1.2,0.143
2379,4.74,0.31
2385,1.2,0.068
2388,9.0,0.045
2392,7.96,0.115
2393,6.6,0.212
2398,0.4,0.229
2400,1.894,0.898
