,st_dens,st_age
393,1.75,0.02
423,1.7,3.34
468,3.53,7.4
477,0.223,2.24
509,0.93,7.8
518,3.1,0.1
519,3.32,3.0
525,0.69,2.0
531,0.687,2.0
532,0.74,2.0
533,1.25,5.8
535,1.22,6.17
540,1.08,6.3
541,0.741,5.8
544,1.468,1.635
548,0.91,4.2
549,0.94,3.7
552,0.93,6.73
556,0.342,8.0
560,0.32,10.7
565,1.8,0.032
570,0.38,5.0
573,0.425,4.9
578,1.814,2.7
587,1.919,0.6
589,1.919,1.2
590,0.65,5.9
594,1.51,0.1
596,1.0,4.0
599,0.255,4.1
601,1.027,3.3
606,0.301,5.4
607,0.5,7.2
620,1.24,4.21
625,0.27,12.0
629,1.825,4.5
637,0.506,1.5
650,1.11,0.8
664,1.2,3.9
665,1.01,6.31
667,1.31,2.5
671,1.6,1.75
677,2.354,1.32
681,2.7,3.0
683,2.44,1.7
693,1.51,6.0
731,2.4,0.045
732,2.095,0.04
806,4.2,0.79
812,0.63,3.99
876,0.465,3.02
884,0.298,9.0
892,14.11,9.9
907,29.6,5.0
930,25.2,3.0
959,3.03,3.8
1127,6.51,2.5
1172,13.3,7.1
1275,6.43,6.0
1292,11.57,4.0
1462,8.6,5.0
1581,0.6203,0.27
1636,17.55,7.0
1646,1.089,2.7
1652,1.161,2.1
1685,3.1087,7.2
1700,0.496,1.5
1709,0.523,1.6
1719,1.104,0.5
1751,2.468,7.2
1763,0.618,2.6
1768,0.378,2.6
1792,1.1011,9.0
1798,1.204,2.1
1861,1.923,7.5
1863,2.13,2.9
1864,2.53,1.6
1867,2.67,1.5
1936,1.29,4.5
1962,0.437,3.9
2027,0.357,3.37
2033,1.223,8.2
2034,1.38,8.1
2037,1.75,9.4
2046,0.87,4.67
2061,1.073,5.3
2069,0.627,2.01
2081,0.615,1.0
2082,0.405,7.11
2087,1.059,7.3
2095,0.521,2.3
2102,0.1909,2.765
2103,1.715,2.6
2106,0.901,8.1
2109,1.448,9.0
2114,0.35,2.88
2115,0.397,3.9
2119,0.266,5.46
2122,0.269,4.66
2131,3.165,11.1
2151,0.285,2.0
2182,0.752,1.6
2193,1.15,3.3
2199,0.471,7.7
2206,0.196,2.36
2211,1.93,2.5
2216,1.682,4.9
2220,1.57,11.0
2221,0.72,9.5
2226,1.22,2.1
2231,1.37,4.2
2238,1.346,7.2
2247,0.91,4.2
2252,1.059,0.88
2257,1.03,7.5
2260,0.218,4.04
2263,0.379,2.3
2268,1.67,6.2
2271,1.17,5.5
2282,1.29,2.3
2288,0.275,4.3
2292,1.17,3.5
2298,1.4,3.0
2300,1.44,7.7
2306,0.628,2.13
2308,1.118,0.62
2323,0.457,2.06
2332,0.189,2.07
2336,0.42,1.34
2341,0.55,3.26
2342,2.18,8.6
2348,1.98,9.7
2350,0.79,1.52
2355,2.1,3.0
2361,3.36,8.1
2362,2.804,11.97
2368,2.961,10.5
2376,1.19,1.2
2379,0.56,4.74
2385,1.37,1.2
2388,1.027,9.0
2392,0.795,7.96
2393,0.678,6.6
2398,1.179,0.4
2400,0.2079,1.894
2407,1.633,2.5
2410,0.702,0.31
2413,1.31,4.3
2417,4.36,8.1
2421,0.496,7.55
2427,0.33,8.9
2428,1.556,9.55
2432,1.071,10.3
2437,0.234,1.861
2442,0.788,1.78
2445,0.318,2.17
2449,0.677,0.51
2454,0.356,3.02
2457,1.854,8.0
2461,2.22,7.8
2468,6.26,3.2
2472,2.743,12.17
2476,4.43,11.0
2482,4.239,14.9
2483,3.8,4.6
2487,3.48,12.1
2489,1.15,5.1
2499,0.427,10.8
2733,1.66,9.233
2740,1.88,9.155
2798,1.82,6.7
2871,1.5226,0.027
2890,1.0,0.25
3102,0.19,5.32
3104,0.2089,5.25
3341,0.95,7.3
3371,1.0333,9.8
3378,1.0348,12.3
3388,1.234,8.2
3412,0.259,8.3
3449,0.147,4.51
3451,0.137,4.46
3704,0.822,1.9
3705,0.834,1.2
3712,0.497,2.6
3772,0.568,3.97
4226,0.522,3.38
4229,0.556,2.8
4230,0.59,2.8
4457,1.5875,3.1
4459,1.58,2.6
4461,1.53,2.6
4485,2.241,0.3
4559,2.629,6.8
4560,2.79,1.4
4672,1.37,8.7
4674,1.55,7.0
4675,1.4082,13.9
4856,0.14,1.7
4868,0.88,11.0
4941,2.4954,0.52
4977,2.3804,4.7
4978,2.39,7.1
5037,1.024,3.1
5044,1.033,2.3
5066,1.024,3.5
5169,1.127,3.8
5204,1.35,5.3
5352,2.438,11.0
5359,2.4376,11.0
5426,0.067,4.9
5521,1.1,5.0
5584,2.585,0.7
5585,2.3406,3.4
5665,0.6098,2.3
5683,7.3,5.0
5914,1.8173,10.2
5956,0.766,4.3
5958,0.7993,2.9
6139,1.148,2.98
6272,1.3866,8.6
6274,1.4239,11.7
6438,3.0734,11.48
6533,0.9319,3.0
6613,1.4057,2.4
6638,1.7997,1.5
6639,1.823,0.414
6641,1.8328,0.414
6674,1.4863,6.6
6867,1.0137,1.15
6899,3.17,0.78
6901,3.69,0.48
6993,0.0026,5.2
7001,0.7339,3.1
7004,0.558,3.85
7043,1.29,5.9
7051,0.9,2.67
7132,1.32,2.64
7184,1.233,4.6
7254,0.472,7.9
7269,0.343,9.4
7271,0.305,7.53
7272,0.359,4.18
7367,1.3835,1.3
7368,1.9554,1.4
7411,1.6865,5.08
7472,3.1,3.9
7478,2.66,6.0
7604,2.59,5.5
7608,2.97,2.0
7756,2.898,4.1
7774,3.02,7.9
7778,0.65,0.017
7779,0.6288,0.017
7868,1.4775,6.0
7919,1.4896,5.6
7922,2.154,3.33
7925,2.1928,1.2
8051,1.0,0.79
8057,0.85,0.75
8066,2.92,0.79
8077,3.03,0.79
8086,6.45,0.79
8094,1.68,0.6
8104,0.33,4.25
8137,0.51,10.77
8139,0.6,12.3
8144,1.23,5.9
8150,1.84,9.9
8151,2.17,7.2
8164,1.43,10.7
8309,0.0264,8.5
8316,2.67,0.688
8318,3.3836,0.65
8329,2.064,2.8
8335,2.02,1.8
8350,1.133,9.8
8353,1.477,4.22
8356,3.164,6.3
8357,3.05,0.74
8367,13.1,5.0
8479,0.606,2.1
8571,3.039,9.5
8909,0.782,7.1
8919,0.888,1.02
8920,0.144,2.55
8923,0.0775,5.63
8929,0.89,5.1
8976,14.6,0.73
9007,3.92,1.0
9016,0.4005,1.9
9018,0.405,4.83
9019,0.35,8.8
9022,0.346,9.3
9027,2.02,7.0
9041,0.98,9.7
9176,0.8,8.96
9202,3.91,0.12
9212,1.217,4.5
9215,8.1,1.0
9218,14.2,1.0
9230,2.9,2.6
9238,0.485,4.0
9249,1.14,6.8
9274,4.95,1.0
9279,4.78,6.9
9280,5.05,1.0
9285,2.11,3.9
9288,2.202,2.2
9302,32.6,1.0
9357,2.3,1.8
9361,0.72,0.009
9364,0.34,0.007
9416,0.41,2.88
9425,0.43,4.24
9516,2.99,1.4
9649,0.036,3.09
9735,4.99,7.4
9862,0.99,10.0
9963,2.5,0.85
10038,9.88,1.0
10060,7.09,0.79
10066,7.81,0.8
10073,0.0222,7.8
10076,0.0222,7.6
10087,0.66,5.2
10094,0.078,2.4
10104,0.889,4.5
10114,0.168,2.2
10117,0.495,5.11
10131,0.679,3.1
10134,0.518,0.65
10140,0.3111,1.9
10157,0.641,0.6
10158,0.66,0.2
10163,0.468,1.6
10167,1.349,6.4
10173,0.52,2.8
10178,0.603,0.78
10179,0.744,1.98
10185,0.565,3.0
10189,0.411,4.44
10194,0.44,4.9
10196,0.387,6.1
10206,0.419,1.3
10210,0.369,5.4
10217,0.2702,0.3
10532,0.472,1.5
10558,0.99,9.3
10659,0.8,8.0
10726,1.88,3.2
10729,8.9,4.0
10744,1.87,0.036
10755,2.2,0.036
10830,1.068,10.41
10842,1.068,10.6
10857,0.44,6.46
11044,0.437,5.9
11225,2.76,1.41
11388,0.52,5.7
11923,1.38,4.83
12080,0.574,4.29
12423,0.65,5.73
12605,1.122,8.5
12807,1.05,3.4
13119,2.71,6.89
13794,0.41,5.3
14270,0.4925,5.3
14287,0.499,4.0
14766,5.21,1.5
15547,0.2096,3.8
16093,1.44,3.66
16684,0.6398,4.6
17451,0.204,2.2
17623,3.25,1.3
18187,3.89,1.4
18796,1.47,3.7
18809,0.772,6.7
19006,6.76,1.6
19023,0.787,2.9
19481,2.06,3.9
19553,4.11,2.9
20114,2.14,3.4
20300,1.19,9.4
20667,1.4,5.7
20773,1.91,0.046
20878,7.05,3.2
20890,2.16,7.7
20897,0.876,5.0
20903,1.3,2.56
21112,2.6,7.1
21125,2.88,3.3
21514,1.579,1.5
21522,1.415,1.78
21572,0.325,7.4
21587,0.7966,2.59
21592,1.1,3.16
22806,1.01,10.0
23613,6.4,4.0
23646,5.29,4.0
24411,1.8328,0.105
24859,0.626,7.4
25292,1.51,8.8
25301,1.51,8.8
25585,0.287,3.03
25586,0.2771,4.4
25599,0.2886,2.84
26324,4.14,6.0
26745,0.75,11.0
26762,0.733,2.75
27902,1.58,0.65
28110,7.94,4.2
28259,2.0,2.0
29117,0.3,4.27
29930,0.3508,6.8
30181,2.46,5.66
30193,2.458,6.0
30439,0.175,10.0
30693,0.825,4.4
30697,0.57,4.4
30698,0.66,2.1
30823,3.47,1.6
30917,0.51,5.3
30934,0.177,2.1
30938,0.213,2.8
30944,0.135,0.8
31098,1.12,5.84
31116,1.38,7.47
31136,0.8094,4.0
31137,0.82,6.68
31144,1.7481,12.8
31153,1.81,6.8
31160,1.46,0.65
31163,0.754,4.4
31174,1.599,6.2
31177,0.693,2.76
31228,0.771,5.1
31361,1.51,7.0
31423,1.58,4.0
31457,1.398,11.0
31480,1.448,5.0
31496,1.17,6.0
31520,0.4,7.0
31534,1.704,5.0
31542,0.69,2.3
31552,0.65,2.8
31559,0.737,2.7
31616,0.0279,4.2
31626,0.177,2.67
31640,0.65,4.0
31665,0.066,2.25
31674,3.03,3.0
31693,3.18,2.9
31699,5.52,4.4
31710,1.89,7.2
31731,0.547,4.7
31734,0.63,5.8
31735,0.48,6.95
31737,4.76,1.3
31757,4.94,1.9
31770,4.01,2.9
31773,2.96,3.2
31813,2.493,11.23
31913,4.0,0.5
31946,0.84,6.0
31976,1.199,5.25
32001,1.53,9.7
32005,1.54,9.7
32029,0.56,0.5
32283,1.98,3.14
32582,0.496,2.8
32602,0.441,3.8
32762,2.16,0.3
32770,2.03,0.5
33287,1.902,5.3
33591,1.727,8.8
33686,0.0246,3.5
33719,12.73,6.8
34350,0.7825,5.7
34750,3.8,7.0
34912,1.895,0.21
35198,0.621,2.9
35387,1.62,1.0
35547,2.66,1.0
35687,0.79,6.3
35709,0.7903,6.3
35847,0.85,9.8
35987,0.238,2.9
35996,0.237,4.4
36080,4.18,1.6
36415,0.529,9.5
36552,1.3,0.8
36559,0.58,2.9
36696,1.79,6.0
36701,1.85,6.2
37070,1.365,7.5
37235,2.8,0.75
37237,2.8,0.625
37409,0.741,3.44
37579,0.518,3.2
37615,2.33,2.0
38428,0.292,4.7
39224,1.64,2.0
39373,0.0073,4.86
39711,1.652,6.6
39720,1.64,5.05
39856,2.9,1.41
39916,0.7,8.7
40021,0.54,5.63
40173,1.54,2.34
40344,1.53,8.42
40361,2.6505,0.105
40508,1.12,2.79
40643,2.86,1.47
40806,12.8999,0.8
40809,15.8,1.0
40816,25.8,5.0
40826,13.9,7.0
40850,32.5106,0.5
40855,31.1,0.5
40858,44.2,7.2
40876,9.7842,3.1
40885,1.81,1.9
40898,0.2966,0.8
40900,0.33,1.0
40901,0.355,0.8
41034,2.109,3.9
41039,0.359,9.4
41041,0.31,4.23
41059,0.477,2.17
41064,0.348,4.1
41067,1.62,10.02
41069,0.755,6.39
41070,0.406,4.77
41074,2.219,3.49
41087,1.458,1.1
41097,3.9304,9.77
41417,0.509,3.1
41427,2.14,9.7
41454,0.761,1.7
41457,0.72,1.2
41459,0.7,1.5
41467,0.46,4.3
41471,0.486,2.6
41477,0.361,3.0
41484,0.87,1.7
41486,0.597,1.0
41489,0.589,1.0
41504,0.293,2.0
41536,1.6,4.1
41558,2.367,9.8
41559,2.284,1.19
41562,2.28,4.5
41571,0.823,3.2
41572,2.241,5.0
41585,0.78,0.31
41592,2.07,0.17
41594,1.286,0.53
41601,3.08,1.02
41602,0.521,1.69
41607,0.641,8.3
41610,3.015,7.5
41645,77.1175,6.6
41660,1.39,3.4
41677,1.076,5.7
41685,0.3102,3.47
41689,0.0578,6.3
41692,1.198,3.8
41693,5.34,7.4
41695,0.939,7.71
41702,2.22,2.5
41704,2.7069,9.4
41708,3.73,6.0
41712,0.337,2.6
41714,2.98,4.1
41715,2.97,8.2
41718,3.1016,5.4
41728,1.6619,0.7
41730,1.5649,0.7
41733,1.6131,5.9
41740,2.4367,2.7
41743,2.6608,5.0
41747,0.312,2.59
41748,0.2828,2.4
41750,3.0026,5.3
41755,1.5487,4.9
41767,12.8,2.0
41771,1.32,10.0
41772,6.8518,0.21
41776,1.3252,0.011
41784,3.74,5.3
41788,2.78,5.9
41792,1.9182,6.3
41797,1.9309,5.5
41800,1.4998,4.0
41806,1.99,6.8
41809,1.99,6.6
41813,2.92,4.8
41819,3.43,6.7
41825,8.13,7.9
41828,1.98,0.39
41829,1.98,0.39
41830,1.31,0.245
41831,1.98,0.39
41833,2.043,3.1
41837,2.4648,1.1
41839,2.453,3.65
41849,2.0546,4.2
41855,1.517,6.5
41859,0.4318,6.2
41862,0.3279,7.1
41864,0.324,6.9
41865,0.67,1.6
41866,0.5496,4.3
41870,1.89,6.34
41876,0.289,2.33
41890,2.1881,0.8
41891,2.3,1.4
41896,1.3498,3.2
41897,1.4,3.3
41901,0.52,2.7
41907,2.5679,6.6
41909,3.6333,9.6
41914,2.31,6.9
41917,1.77,10.7
41921,1.2921,4.6
41922,1.3,5.1
41924,0.37,0.29
41927,0.7083,6.7
41932,0.4045,4.6
41938,2.4897,7.4
41941,1.7621,3.8
41952,1.3363,4.0
41960,6.66,7.2
41962,6.6514,13.4
41971,2.1838,2.3
41974,1.16,9.1
41978,0.47,4.3
41981,0.5332,2.346
41982,1.09,4.82
41990,0.842,12.82
41993,0.1975,2.4
41994,0.205,2.64
41998,0.4518,1.823
42006,1.1688,7.7
42012,0.752,2.53
42023,6.55,1.0
42024,5.797,1.3
42026,0.756,4.7
42031,1.3043,6.6
42038,2.3008,4.3
42048,16.3,7.1
42050,1.6358,1.5
42051,0.65,2.8
42052,1.53,4.2
42056,0.286,7.4
42061,1.1317,4.8
42062,3.78,7.1
42069,0.4967,9.2
42073,2.63,6.3
42074,1.0498,3.9
42080,5.02,0.8
42083,0.578,9.0
42084,0.74,10.0
42085,1.4446,5.9
42088,2.1265,7.5
42092,3.949,5.0
42093,4.181,15.1
42096,2.2688,0.8
42100,1.5677,5.1
42105,3.31,7.1
42111,0.208,2.73
42112,0.5941,10.8
42116,2.4218,2.6
42122,1.5171,5.1
42126,5.2344,13.3
42135,3.374,0.18
42136,2.4,0.3
42138,2.7172,2.1
42139,2.8,5.4
42142,2.54,5.9
42146,0.43,11.0
42148,2.2412,6.3
42152,2.3034,2.5
42155,0.3897,3.2
42159,0.2432,2.5
42161,0.25,2.49
42168,1.23,8.2
42170,0.73,1.41
42176,0.4128,3.1
42178,3.98,7.1
42179,3.95,7.4
42183,1.198,3.6
42195,2.39,0.8
42197,0.215,0.94
42201,1.047,5.3
42204,0.81,0.87
42211,1.243,1.9
42215,12.98,1.1
42220,0.3119,6.4
42224,0.542,4.5
42225,0.49,1.7
42229,0.89,0.45
42232,2.38,0.3
42238,5.15,7.0
42241,2.244,0.204
42242,2.3628,2.7
42248,5.9636,7.5
42255,2.0537,4.5
42257,7.23,1.0
42261,23.9,4.0
42265,1.68,4.0
42269,0.417,1.77
42274,1.0231,4.7
42279,2.9465,3.8
42281,12.68,7.5
42283,12.2,4.6
42289,0.1142,1.6
42291,0.1161,1.8
42295,0.511,0.83
42300,0.639,2.9
42303,0.56,8.0
42311,0.359,8.1
42314,0.089,2.3
42316,0.781,5.5
42325,1.25,4.5
42327,1.8469,10.1
42333,0.476,3.3
42336,0.486,2.52
42344,22.0,0.3
42351,0.055,4.9
42353,1.301,7.0
42358,1.94,3.5
42359,2.1,4.2
42363,25.6,4.5
42368,1.096,5.9
42374,3.76,10.4
42375,2.64,6.0
42381,3.91,9.4
42391,0.835,4.9
42393,0.297,7.5
42414,0.2,1.0
42417,0.79,3.6
42426,1.013,6.7
42433,0.326,7.23
42436,0.34,7.6
42444,1.138,4.4
42445,0.531,4.4
42451,0.316,6.7
42454,1.14,11.0
42459,4.6966,15.9
42467,0.482,10.8
42470,0.0254,5.9
42484,0.75,5.5
42490,1.22,4.0
42493,0.822,3.7
42497,0.745,9.5
42502,0.789,4.7
42507,1.078,9.8
42510,1.2547,4.5
42513,0.346,7.0
42526,1.4,6.5
42528,0.4127,8.7
42533,0.396,8.1
42536,1.65,2.1
42546,0.331,2.14
42548,0.587,5.4
42553,0.823,6.0
42557,2.95,6.1
42560,3.922,9.8
42561,4.0,7.0
42563,0.767,3.3
42566,2.48,3.0
42571,5.8,2.9
42573,6.01,12.5
42575,3.7,7.1
42582,0.521,5.6
42585,0.478,4.5
42591,0.475,5.7
42592,0.447,7.2
42594,0.507,4.27
42596,0.569,7.5
42598,0.742,3.1
42601,0.521,3.8
42608,6.9,2.9
42619,1.205,0.8
42622,0.775,4.8
42626,0.621,2.1
42627,2.01,4.7
42633,0.537,0.4
42635,23.0084,6.7
42637,3.786,1.4
42638,3.775,16.8
42642,2.72,9.4
42646,1.8046,10.9
42659,0.179,2.39
42664,19.3428,6.7
42665,32.2709,6.7
42666,13.2524,6.7
42675,0.031,3.88
42680,0.784,2.9
42684,10.1,5.1
42693,1.24,4.1
42710,1.824,0.12
42714,2.1232,1.2
42722,0.028,4.92
42724,10.5,7.0
42734,2.36,2.3
42740,0.1211,1.64
42742,1.35,1.3
42753,0.624,3.3
42756,0.5411,2.7
42759,0.36,6.7
42765,11.3,4.5
42766,1.5508,5.3
42776,1.4,9.0
42781,0.922,0.8
42785,0.649,5.4
42790,11.45,0.55
42801,2.94,6.7
42804,0.344,2.37
42811,5.4,2.9
42816,0.197,2.43
42817,0.205,2.29
42819,0.167,3.78
42822,3.92,7.1
42824,4.24,10.9
42826,4.7,7.1
42842,1.03,10.8
42845,0.568,1.79
42849,0.774,6.8
42851,1.95,10.0
42853,1.691,16.1
42856,1.89,11.0
42859,1.809,5.0
42861,3.49,7.2
42864,4.99,7.4
42868,1.095,7.3
42871,1.551,8.5
42879,9.615,5.0
42882,13.4,7.0
42887,22.8674,3.0
42892,6.19,7.8
42897,20.6117,2.0
42901,0.276,1.7
42904,4.89,7.2
42905,0.452,0.9
42912,0.762,1.28
42916,0.24,1.99
42929,1.34,7.9
42937,0.8,2.92
42942,8.0,1.5
