,st_dens,st_logg
4,3.988,4.69
29,1.2739,4.4
61,1.011,4.35
62,0.7505,4.26
95,0.3879,4.0
111,10.1187,4.86
115,17.6708,4.96
118,13.1812,4.91
119,15.3539,4.94
121,3.3202,4.62
123,22.7811,5.01
125,3.8321,4.65
129,25.2795,5.03
136,2.9807,4.59
138,3.3699,4.62
142,0.5788,4.23
146,0.743,4.28
171,0.8366,4.3
188,6.2504,4.78
189,0.7071,4.31
202,0.8937,4.31
233,1.4185,4.42
239,15.368,4.94
250,1.41,4.43
269,1.4493,4.44
326,0.1902,3.85
336,4.2797,4.68
359,0.1033,3.77
366,1.1201,4.35
371,1.4542,4.48
393,1.75,4.4
395,2.7447,4.57
405,1.7311,4.46
422,0.7329,4.25
423,1.7,4.5
425,1.89,4.5
428,2.2295,4.55
441,1.6649,4.46
444,2.3087,4.55
446,2.2996,4.56
451,2.747,4.56
454,3.318,4.65
458,1.5328,4.45
468,3.53,4.64
469,3.039,4.6
477,0.223,3.85
478,0.1144,3.76
482,2.7584,4.59
489,2.239,4.51
494,30.3588,5.07
502,9.1389,4.84
509,0.93,4.31
514,0.66,4.66
517,0.827,4.32
518,3.1,4.65
519,3.32,4.65
522,7.1597,4.88
523,2.2,4.47
525,0.69,4.22
527,0.4453,4.14
529,0.581,4.27
531,0.687,4.26
533,1.25,4.41
534,1.2905,4.42
535,1.22,4.38
539,0.89,4.66
540,1.08,4.38
541,0.741,4.26
544,1.468,4.46
546,1.0357,4.36
547,0.5207,4.16
548,0.91,4.35
549,0.94,4.34
552,0.93,4.36
554,0.5911,4.15
556,0.342,4.04
560,0.32,4.4
561,1.54,4.44
562,1.35,4.4
565,1.8,4.49
567,1.6783,4.48
570,0.38,4.07
572,0.3295,4.02
573,0.425,4.12
579,1.36,4.73
585,5.0847,4.72
587,1.919,4.53
588,1.6618,4.48
589,1.919,4.53
590,0.65,4.23
592,0.6035,4.18
594,1.51,4.2
596,1.0,4.35
599,0.255,3.7
601,1.027,4.36
602,0.878,4.3
606,0.301,4.01
607,0.5,4.3
608,0.1414,3.76
610,1.9486,4.49
614,0.6464,4.24
620,1.24,4.4
621,0.5371,4.16
625,0.27,3.6
628,1.0151,4.33
629,1.825,4.3
631,0.431,4.25
632,0.5403,4.2
637,0.506,4.19
638,1.5416,4.47
643,0.1518,3.78
645,0.4472,4.11
646,0.2373,3.96
650,1.11,4.4
655,0.79,4.82
656,1.2055,4.42
659,0.88,4.46
660,0.827,4.31
664,1.2,4.41
665,1.01,4.34
666,1.2816,4.44
667,1.31,4.42
671,1.6,4.5
672,2.0,4.5
673,2.11,4.54
675,1.9632,4.52
676,1.41,4.42
677,2.354,4.57
679,1.0,4.4
680,1.21,4.42
681,2.7,4.58
682,1.7,4.47
683,2.44,4.58
684,6.8429,4.87
687,1.9322,4.53
690,1.63,4.48
691,1.16,4.35
692,1.68,4.54
693,1.51,4.54
695,1.5728,4.48
701,7.7107,4.8
705,0.3771,4.0
709,0.8128,4.3
713,0.2435,3.97
725,0.6408,4.24
730,1.536,4.45
732,2.095,4.6
736,1.7112,4.45
743,6.7329,4.78
746,1.0206,4.33
751,3.2293,4.63
754,1.4754,4.45
759,2.6521,4.58
768,2.3828,4.59
776,9.7786,4.85
781,2.9046,4.58
788,19.8798,4.99
791,2.5198,4.57
802,3.8797,4.65
812,0.63,4.25
814,0.6439,4.23
815,2.253,4.22
823,2.5038,4.58
828,0.842,4.3
832,2.8167,4.61
844,1.8589,4.54
846,1.8554,4.52
849,3.19,4.62
853,3.4085,4.65
854,0.9709,4.32
861,1.35,4.42
865,1.4295,4.44
870,7.7399,4.8
873,1.5256,4.47
876,0.465,4.16
878,6.8054,4.78
880,0.3585,4.08
881,0.064,3.52
884,0.298,3.99
885,0.1711,3.81
888,5.1392,4.72
889,13.2592,4.91
892,14.11,4.93
893,13.2211,4.91
896,55.4425,5.19
900,47.5619,5.16
906,25.3,5.04
909,23.7846,5.02
911,15.4,4.88
912,10.5255,4.87
918,29.3471,5.06
923,24.1,4.99
926,26.202,5.04
928,22.89,4.99
929,38.4,5.12
931,25.41,5.03
933,23.29,4.94
937,25.4,5.03
939,23.9,4.99
946,8.993,4.83
957,2.9313,4.6
959,3.03,4.61
965,31.0554,5.07
967,8.3741,4.82
980,3.1297,4.61
985,8.2478,4.82
993,9.6755,4.85
998,8.1251,4.81
1004,0.1203,3.72
1006,2.074,4.48
1010,4.6412,4.69
1023,7.6454,4.8
1030,10.0532,4.86
1041,5.2112,4.72
1043,13.1944,4.91
1049,2.0094,4.54
1067,6.4782,4.77
1069,5.2339,4.72
1072,5.32,4.73
1076,3.4713,4.63
1079,7.6477,4.8
1088,3.2106,4.61
1095,6.9,4.78
1102,6.4936,4.77
1108,4.1101,4.67
1113,4.0445,4.66
1127,6.51,4.78
1129,4.1,4.66
1130,3.3,4.7
1131,5.6242,4.74
1135,5.4,4.74
1137,61.5947,5.21
1140,10.7392,4.87
1144,10.93,4.81
1145,47.4782,5.16
1149,10.4403,4.86
1155,13.6,4.94
1159,6.7405,4.78
1164,6.6967,4.78
1166,6.7108,4.78
