,st_mass,st_lum
1,2.09,1.978
4,0.69,-0.874
6,2.7,2.243
19,1.78,1.84
20,2.2,1.763
29,0.91,-0.153
33,1.07,-0.155
34,0.91,-0.204
43,0.9,-0.15
51,0.96,0.143
59,0.98,0.076
61,1.03,0.097
62,1.04,0.196
76,1.02,0.23
82,1.22,2.254
87,2.3,1.602
88,2.1,1.634
93,0.85,-0.37
95,0.62,-0.403
96,0.85,-0.37
100,0.99,1.774
101,1.05,1.877
103,1.54,1.164
110,0.4,-1.72
111,0.35,-1.838
113,0.11,-2.23
115,0.24,-2.357
116,0.04,-2.64
117,0.05,-2.59
118,0.29,-2.221
119,0.26,-2.246
120,0.17,-1.164
121,0.62,-1.388
123,0.2,-2.444
125,0.59,-1.568
129,0.19,-2.561
136,0.64,-1.168
138,0.63,-1.009
142,1.42,0.617
146,1.21,0.379
171,1.06,0.198
176,1.06,0.233
187,1.57,0.763
188,0.53,-1.389
189,1.65,0.752
190,1.75,0.85
202,1.03,0.136
218,1.05,0.161
233,0.9,-0.197
239,0.26,-2.108
248,0.91,-0.235
258,0.96,-0.18
260,1.7,1.176
261,1.32,1.119
269,0.98,-0.078
272,0.94,-0.095
275,0.94,-0.06
277,0.88,-0.095
288,0.93,-0.085
296,1.44,1.121
297,1.52,1.053
298,1.89,1.079
306,1.34,1.063
308,1.09,0.451
311,1.1,0.501
326,0.96,0.483
330,1.92,1.714
331,2.49,1.73
336,0.56,-1.256
344,1.23,1.76
349,2.4,1.778
359,1.9,1.492
360,2.4,1.771
366,0.84,-0.224
367,0.9,-0.4
371,1.29,0.247
373,1.27,0.29
385,0.5,-1.046
386,0.5,-1.046
389,0.5,-1.046
391,0.54,-1.046
393,0.51,-1.038
396,0.6,-0.99
400,1.14,2.7
403,0.86,-0.32
405,0.79,-0.425
408,1.08,1.57
412,1.1,2.01
417,2.8,3.17
418,0.8,1.96
422,1.0,0.154
423,0.96,-0.056
428,0.85,-0.399
430,0.74,1.69
433,0.74,1.69
436,1.09,1.64
440,1.52,1.47
441,0.85,-0.313
443,1.0,0.356
444,0.83,-0.449
446,0.85,-0.413
449,0.7,-1.022
450,0.57,-0.959
451,0.63,-0.946
454,0.78,-0.634
457,1.0,-0.313
458,0.92,-0.192
468,0.65,-0.804
469,0.66,-0.888
470,0.59,-0.886
477,1.41,1.06
478,1.44,1.101
479,0.99,0.09
482,0.74,-0.651
483,0.74,-0.678
489,0.64,-0.875
490,0.57,-0.921
492,0.68,-0.87
493,0.16,-2.533
494,0.17,-2.531
496,0.01,-2.85
499,0.9,-0.108
502,0.38,-1.744
503,0.37,-1.732
517,1.26,0.389
522,0.84,-0.762
527,1.26,0.564
534,1.02,0.014
535,1.0,0.07
546,1.08,0.154
547,1.05,0.319
554,0.79,-0.112
565,0.88,-0.17
567,0.97,-0.135
570,1.21,0.544
572,1.03,0.425
585,0.52,-1.331
588,0.97,-0.131
592,0.94,0.113
596,1.1,0.17
602,1.02,0.123
608,0.95,0.544
610,0.77,-0.504
614,1.23,0.433
621,1.01,0.25
628,0.9,-0.094
632,1.36,0.589
638,1.04,-0.003
643,0.94,0.516
645,1.05,0.362
646,1.34,0.813
656,1.21,0.236
660,1.21,0.345
665,0.99,0.18
666,1.19,0.204
675,0.9,-0.289
683,0.89,-0.4
684,0.87,-0.699
687,0.99,-0.142
695,1.06,0.011
696,1.08,-0.155
701,0.42,-1.574
705,0.68,-0.212
709,1.17,0.317
713,1.3,0.773
716,1.44,0.104
723,1.3,0.45
724,1.25,0.459
725,1.22,0.431
730,0.94,-0.154
731,1.01,-0.14
736,0.74,-0.516
743,0.45,-1.508
746,0.93,-0.049
751,0.74,-0.695
754,1.02,-0.026
757,0.73,-0.364
759,0.77,-0.592
768,1.03,-0.147
776,0.36,-1.73
781,0.63,-0.956
788,0.22,-2.088
791,0.79,-0.533
802,0.59,-1.169
806,0.61,-1.153
814,1.16,0.373
823,0.83,-0.467
828,1.08,0.214
832,0.85,-0.47
844,1.13,0.038
846,1.0,-0.124
853,0.72,-0.751
854,0.95,-0.009
860,0.93,-0.119
865,0.98,-0.073
870,0.42,-1.612
873,1.07,0.03
876,1.32,0.526
878,0.45,-1.356
880,1.34,0.691
885,0.89,0.406
887,0.05,-0.699
888,0.52,-1.425
889,0.29,-1.99
890,0.3,-1.972
892,0.29,-1.971
893,0.29,-1.915
896,0.12,-2.879
897,0.12,-2.852
899,0.12,-2.77
900,0.13,-2.808
906,0.19,-2.321
907,0.18,-2.359
909,0.2,-2.282
910,0.18,-2.359
912,0.34,-1.869
913,0.35,-1.699
