,st_metratio
1,[Fe/H]
3,[Fe/H]
6,[Fe/H]
7,[Fe/H]
8,[M/H]
10,[Fe/H]
13,[M/H]
14,[Fe/H]
15,[Fe/H]
17,[Fe/H]
19,[Fe/H]
20,[Fe/H]
23,[Fe/H]
24,[M/H]
29,[M/H]
30,[Fe/H]
33,[Fe/H]
34,[Fe/H]
36,[Fe/H]
38,[Fe/H]
39,[Fe/H]
43,[Fe/H]
44,[Fe/H]
46,[Fe/H]
48,[Fe/H]
51,[Fe/H]
55,[Fe/H]
59,[M/H]
61,[M/H]
62,[M/H]
66,[Fe/H]
68,[Fe/H]
74,[Fe/H]
76,[Fe/H]
78,[Fe/H]
79,[Fe/H]
81,[M/H]
82,[Fe/H]
83,[Fe/H]
84,[Fe/H]
85,[M/H]
87,[Fe/H]
88,[Fe/H]
97,[M/H]
100,[Fe/H]
101,[Fe/H]
103,[Fe/H]
107,[Fe/H]
120,[Fe/H]
134,[Fe/H]
146,[M/H]
148,[Fe/H]
150,[Fe/H]
151,[Fe/H]
154,[M/H]
157,[Fe/H]
159,[Fe/H]
160,[Fe/H]
163,[M/H]
165,[Fe/H]
166,[Fe/H]
170,[Fe/H]
171,[M/H]
172,[Fe/H]
175,[Fe/H]
176,[Fe/H]
182,[Fe/H]
183,[Fe/H]
190,[M/H]
196,[Fe/H]
202,[M/H]
205,[Fe/H]
206,[M/H]
209,[Fe/H]
218,[Fe/H]
224,[Fe/H]
229,[Fe/H]
233,[M/H]
240,[Fe/H]
241,[Fe/H]
242,[Fe/H]
244,[Fe/H]
247,[Fe/H]
248,[Fe/H]
249,[Fe/H]
250,[Fe/H]
252,[Fe/H]
258,[Fe/H]
259,[Fe/H]
260,[Fe/H]
261,[Fe/H]
264,[Fe/H]
267,[M/H]
269,[M/H]
272,[Fe/H]
275,[Fe/H]
277,[Fe/H]
285,[Fe/H]
286,[Fe/H]
288,[Fe/H]
297,[Fe/H]
303,[M/H]
305,[Fe/H]
306,[Fe/H]
308,[Fe/H]
